Line	Elapsed	Date	Experiment	EGFP_untreated_1	EGFP_untreated_2	EGFP_untreated_3	EGFP_DOX_1	EGFP_DOX_2	EGFP_DOX_3	Ptf1a_untreated_1	Ptf1a_untreated_2	Ptf1a_untreated_3	Ptf1a_DOX_1	Ptf1a_DOX_2	Ptf1a_DOX_3
12738	36	180319	3	31.91541	28.74271	27.48836	30.54676	34.53481	31.22702	38.71651	53.80877	38.34632	30.26334	32.74235	30.5347
12738	38	180319	3	34.10989	31.12386	28.39497	32.85169	36.95061	33.46883	41.30074	57.32719	40.8865	32.10654	35.15549	31.32937
12738	40	180319	3	37.77138	33.45417	30.31968	34.71823	39.5044	35.7079	44.9714	59.79077	43.62599	33.84525	37.40656	33.2086
12738	42	180319	3	40.22981	35.3984	32.33172	36.86922	42.35922	37.38678	48.12696	63.73841	46.43489	35.11123	39.01987	35.22483
12738	44	180319	3	42.42945	37.71265	33.7084	38.80988	44.75123	39.5196	50.51447	66.87421	48.92237	37.90016	40.6469	36.58242
12738	46	180319	3	45.3739	40.1332	35.53434	40.99324	47.74001	42.03143	53.70377	70.1796	52.63783	38.20283	42.90678	37.68968
12738	48	180319	3	47.6282	42.50636	37.92264	43.66217	50.35493	45.16094	56.70682	73.80369	55.47521	40.72612	45.19216	39.80943
12738	50	180319	3	49.90485	45.39509	39.7491	46.12781	52.91411	48.55722	58.60136	76.81425	59.2698	42.9904	47.57932	40.95071
12738	52	180319	3	52.72684	48.23135	42.36509	48.63761	55.56252	51.60575	62.3719	79.47484	62.35371	44.80014	49.75548	42.31236
12738	54	180319	3	55.30586	50.96598	44.0374	51.98486	58.94369	54.66219	65.49197	81.87901	65.66537	47.53806	52.51273	44.6198
12738	56	180319	3	58.13407	53.34174	46.2654	54.66085	62.29339	58.22966	69.19749	83.41417	68.90445	48.91463	54.49639	46.40675
12738	58	180319	3	60.20367	55.50637	49.62931	57.83578	64.93985	60.99422	71.64665	85.55069	72.88364	50.64333	57.47597	48.76041
